Zipcode,Abandoned#,Longitude,Latitude,AvgSalary,house_zipcode
7108,64,-74.21377286,40.72813031,39145,7108
7108,64,-74.21486516,40.72697257,39145,7108
7108,64,-74.21426234,40.72874673,39145,7108
7108,64,-74.21412293,40.72871653,39145,7103
7108,64,-74.21350559,40.72858613,39145,7108
7108,64,-74.21341736,40.72856376,39145,7108
7108,64,-74.2128505,40.72713195,39145,7108
7108,64,-74.20125505,40.72227521,39145,7108
7108,64,-74.21124993,40.72966453,39145,7103
7108,64,-74.20229211,40.72344937,39145,7108
7108,64,-74.20615777,40.72095911,39145,7108
7108,64,-74.20791838,40.71862038,39145,7108
7108,64,-74.20729251,40.71846925,39145,7108
7108,64,-74.20649785,40.71849295,39145,7108
7108,64,-74.20769993,40.71885575,39145,7108
7108,64,-74.20827645,40.71824638,39145,7108
7108,64,-74.20688131,40.71790427,39145,7108
7108,64,-74.20815947,40.71821802,39145,7108
7108,64,-74.20535383,40.71768608,39145,7108
7108,64,-74.20518176,40.71789709,39145,7112
7108,64,-74.20456452,40.72049039,39145,7108
7108,64,-74.20704686,40.72008924,39145,7108
7108,64,-74.20275328,40.72105574,39145,7111
7108,64,-74.20270014,40.72120973,39145,7111
7108,64,-74.20349031,40.71891977,39145,7112
7108,64,-74.2033364,40.71936581,39145,7112
7108,64,-74.2032851,40.7195145,39145,7112
7108,64,-74.20344867,40.71746302,39145,7108
7108,64,-74.2032937,40.71744268,39145,7108
7108,64,-74.2029892,40.71888368,39145,7108
7108,64,-74.20285996,40.71844036,39145,7108
7108,64,-74.20278595,40.71934282,39145,7108
7108,64,-74.20253928,40.72000023,39145,7108
7108,64,-74.20209771,40.72133688,39145,7108
7108,64,-74.20297728,40.72040658,39145,7112
7108,64,-74.20736628,40.72227812,39145,7108
7108,64,-74.20888314,40.7196683,39145,7108
7108,64,-74.20896844,40.71968811,39145,7108
7108,64,-74.17755729,40.76076678,39145,7104
7108,64,-74.20419446,40.71618684,39145,7112
7108,64,-74.21754377,40.72155367,39145,7108
7108,64,-74.21768528,40.72162176,39145,7108
7108,64,-74.21754048,40.72236495,39145,7108
7108,64,-74.21650356,40.7218462,39145,7108
7108,64,-74.21768794,40.72243676,39145,7108
7108,64,-74.2160183,40.72289799,39145,7108
7108,64,-74.21642897,40.72256572,39145,7108
7108,64,-74.21489949,40.72301176,39145,7103
7108,64,-74.21482515,40.72300235,39145,7103
7108,64,-74.21390026,40.72209193,39145,7108
7108,64,-74.21508346,40.72172295,39145,7108
7108,64,-74.21596966,40.72154995,39145,7108
7108,64,-74.21618481,40.72134363,39145,7108
7108,64,-74.21576229,40.72118988,39145,7108
7108,64,-74.21125048,40.71961369,39145,7108
7108,64,-74.21160311,40.72269109,39145,7108
7108,64,-74.21178878,40.72269295,39145,7108
7108,64,-74.20927314,40.7222426,39145,7108
7108,64,-74.20994925,40.72237426,39145,7108
7108,64,-74.20872132,40.7211056,39145,7108
7108,64,-74.20939575,40.71851858,39145,7108
7108,64,-74.2101683,40.71870601,39145,7108
7108,64,-74.2098199,40.71908205,39145,7108
7108,64,-74.2161224,40.72467371,39145,7108
7108,64,-74.21596148,40.72411349,39145,7108
7108,64,-74.21626557,40.72430571,39145,7108
7108,64,-74.21599603,40.72402332,39145,7108
7108,64,-74.211039,40.72426973,39145,7108
7108,64,-74.21138697,40.72430402,39145,7108
7108,64,-74.21155979,40.72385656,39145,7108
7108,64,-74.21095496,40.72542694,39145,7108
7108,64,-74.21079646,40.7248912,39145,7108
7108,64,-74.21181087,40.72333045,39145,7108
7108,64,-74.2100438,40.72520614,39145,7108
7108,64,-74.21035831,40.72440115,39145,7108
7108,64,-74.21033032,40.72447231,39145,7108
7108,64,-74.21008925,40.72506735,39145,7108
7108,64,-74.21006929,40.72514037,39145,7108
7108,64,-74.20949944,40.72412103,39145,7108
7108,64,-74.2091893,40.72394435,39145,7108
7108,64,-74.20924011,40.72381252,39145,7108
7108,64,-74.20842763,40.72437825,39145,7108
7108,64,-74.20835502,40.72346605,39145,7108
7108,64,-74.20817903,40.72500635,39145,7108
7108,64,-74.20713433,40.72471364,39145,7108
7108,64,-74.2063755,40.72418465,39145,7108
7108,64,-74.20595767,40.72423109,39145,7108
7108,64,-74.20567025,40.72330723,39145,7108
7108,64,-74.2048199,40.72270114,39145,7111
7108,64,-74.20415704,40.7232753,39145,7111
7108,64,-74.20494795,40.72272804,39145,7111
7108,64,-74.20292212,40.72358138,39145,7108
7108,64,-74.21091576,40.7245852,39145,7108
7108,64,-74.20119876,40.72337699,39145,7108
7108,64,-74.21088495,40.72466412,39145,7108
7108,64,-74.21246419,40.72402309,39145,7108
7108,64,-74.21490913,40.72425063,39145,7108
7108,64,-74.21669984,40.72475451,39145,7108
7108,64,-74.21669984,40.72475451,39145,7108
7108,64,-74.21420028,40.72616491,39145,7108
7108,64,-74.21427995,40.72595551,39145,7108
7108,64,-74.21493251,40.72522927,39145,7108
7108,64,-74.21332194,40.72590282,39145,7108
7108,64,-74.21404968,40.72400086,39145,7103
7108,64,-74.21361463,40.72513588,39145,7108
7108,64,-74.21329238,40.72598022,39145,7108
7108,64,-74.21416479,40.7246804,39145,7108
7108,64,-74.21448599,40.7238414,39145,7103
7108,64,-74.21408435,40.72391021,39145,7103
7108,64,-74.21338822,40.72572832,39145,7108
7108,64,-74.21335062,40.72582831,39145,7108
7108,64,-74.21477253,40.72348776,39145,7103
7108,64,-74.21438886,40.72409556,39145,7103
7108,64,-74.21329494,40.72440289,39145,7108
7108,64,-74.21309729,40.7239386,39145,7108
7108,64,-74.21300401,40.72418198,39145,7108
7108,64,-74.21248383,40.72553842,39145,7108
7108,64,-74.213021,40.72511643,39145,7108
