,Establishment,Latitude,Longitude,Evaluation,property_zipcode
260,chen School,40.73439694,-74.17493825,Conditionally Satisfactory,07102
261,Ironbound Children's Center,40.72853693,-74.16964328,Satisfactory,07105
262,New Life Day Care Center ,40.78184818,-74.16335302,Conditionally Satisfactory,07104
263,New Life Day Care Center ,40.78184818,-74.16335302,Conditionally Satisfactory,07104
264,Melanie's Restaurant ,40.775099700000005,-74.16553729,Unsatisfactory,07104
265,Wilson Ave School ,40.72755856,-74.15492717,Satisfactory,07105
266,"Precious Little Early Childhood Development Center,  Inc ",40.74589349,-74.23420485,Conditionally Satisfactory,07106
267,Early Childhood  Center of the Ironbound,40.73026843,-74.14613522,Satisfactory,07105
268,Soy Peru ,40.75318235,-74.17093284,Conditionally Satisfactory,07104
269,Soy Peru ,40.75318235,-74.17093284,Conditionally Satisfactory,07104
270,Paquita Deli Multiservice ,40.75400158,-74.17087445,Satisfactory,07104
271,Paquita Deli Multiservice ,40.75400158,-74.17087445,Satisfactory,07104
272,Yah Mon Island Grill ,40.74666654,-74.22953969,Conditionally Satisfactory,07106
273,North End Bar & Grill ,40.77927067,-74.15553025,Satisfactory,07104
276,Maranatha SDA Church ,40.74547895,-74.22495973,Conditionally Satisfactory,07106
277,Queen Pizza & Deli,40.73125626,-74.17418885,Conditionally Satisfactory,07102
278,Andros Diner,40.72777606,-74.15583278,Satisfactory,07105
282,Good Tasty Too ,40.73235258,-74.17310817,Conditionally Satisfactory,07102
283,21 Plaza Wine & Liquor ,40.75723075,-74.16709999,Satisfactory,07104
284,Yummy Goody Restaurant ,40.75425541,-74.1718345,Satisfactory,07104
286,Fresh Tortilla Grill,40.73506569,-74.17126578,Unsatisfactory,07102
287,Coimbra Bar & Restaurant,40.730954,-74.1499852,Satisfactory,07105
288,LA esperanca,40.75443544,-74.19111904,Satisfactory,07107
289,AKAR Automotive,40.73862696,-74.19294790000001,Satisfactory,07103
290,Belmont Runyon Elementary School ,40.71771992,-74.19868624,Satisfactory,07108
291,Panasonic Cafeteria ,40.73632755,-74.16496884,Satisfactory,07102
292,Canola Bakery & Cafe,40.72222064,-74.15040303,Satisfactory,07105
293,NJ Tu Casa Restaurant & Bar ,40.75170995,-74.17099666,Conditionally Satisfactory,07104
294,J & J Convenient Store ,40.75143863,-74.17100945,Conditionally Satisfactory,07104
295,J & J Convenient Store ,40.75143863,-74.17100945,Conditionally Satisfactory,07104
300,Lugo Bar ,40.75680639,-74.17347428,Conditionally Satisfactory,07104
301,The Centre Inc ,40.72240483,-74.18829747,Conditionally Satisfactory,07108
302,Lugo Bar ,40.75680639,-74.17347428,Conditionally Satisfactory,07104
305,Flamboyan Manor ,40.78088921,-74.15889697,Satisfactory,07104
306,AC Food Services ,40.73176796,-74.1736208,Conditionally Satisfactory,07102
308,The Best Food Market,40.73901355,-74.19590406,Satisfactory,07103
310,Malco Liquors,40.72142364,-74.16091808,Satisfactory,07105
311,O Pipo Tavern,40.72142364,-74.16091808,Satisfactory,07105
